source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,google/t5_11b_trueteacher_and_anli,google/t5_xxl_true_nli_mixture
"
police in north carolina say a married couple is dead after an amtrak train hit them on easter morning as they lingered on the tracks .
derek lowe , 38 , and tina lowe , 33 , were hit shortly before 10 am on sunday in durham by a train heading north .
amtrak spokesman marc magliari said train no. 80 , the carolinian , was headed from charlotte to new york city when the accident occurred on property owned by norfolk-southern .
derek lowe , 38 , and tina lowe , 33 , were struck and killed by an amtrak train shortly before 10 am on easter sunday in durham , north carolina
authorities say none of the 166 passengers on the train were injured , although a man who fell ill during the delay did receive treatment
the lowes were both pronounced dead at the scene , wral reported .
the train continued on its route after a delay of about two hours and 45 minutes , according to magliari .
authorities say none of the 166 passengers on the train were injured , although a man who fell ill during the delay did receive treatment .
a man who met the pair while collecting scrap metal said they may have lived in a homeless camp , abc 11 reported .
james thompson said : ` the last encounter i had with the man and woman was they had a grocery cart and they had a few items in it .
` they asked me would i use my truck to go over there because crossing the railroad tracks was so bad , and so hard with the cart .
after the accident occurred , the train was delayed for almost three hours before continuing on its way
` they 'll come up to me and want me to give them a little something .
` when you see a person that 's in dire straits , be kind to them .
` do n't condemn them .
they 've got a heart . '
durham is located about 25 miles northwest of the train 's next destination , raleigh .
the trip from charlotte to new york city usually takes about 13 hours and 30 minutes .","The passage in question details the death of a married couple, Derek and Tina Lowe, after they were struck by an Amtrak train on Easter Sunday in Durham, North Carolina. The train was heading north from Charlotte to New York City and typically takes about 13 hours and 30 minutes for the journey. Although the train was delayed, none of the 166 passengers were injured. A man who met the couple claimed that they might have been homeless and asked if he could help them cross the railroad tracks as they struggled with their grocery cart.",cohere/Cohere-Chat,0.67321,0.98205,0.97718,1,1.0
"""I'm feeling the joints for any kind of heat or swelling."" Veterinary surgeon Dr Sandra Corr puts Daisy the sheep through a very hands-on physical examination. ""I'm looking for any signs of crepitus or lameness,"" she says, ""Anything that might indicate the onset of disease or osteoarthritis."" But Daisy is not just any sheep. She's a clone. One of a flock of 13 cloned sheep currently living out their lives on a farm owned by the University of Nottingham, and one of only four (the others are Debbie, Denise and Diane) cloned from the same adult ewe as Dolly the sheep - the first cloned mammal born in 1996. This, despite the passage of a couple of generations in sheep-years, says Kevin Sinclair, professor of developmental biology at Nottingham and lead author on the study, makes them Dolly's - and that original ewe's - identical twin sisters. ""Where there was one Dolly, with these four girls, now there are five,"" he says. We're standing in a straw-lined pen in a barn on the university's Sutton Bonington Campus and one-by-one all 13 sheep are put through the same set of exacting, methodical tests. As far as I can tell it's a process the sheep seem well used to. If not exactly enthusiastic, they stoically endure the joint manipulations with something approaching world weary resignation. But if the sheep seem unfazed by all the attention, that may be because they are among the most closely monitored and studied animals anywhere in the world. According to Prof Sinclair, the fate of the whole science of cloning may hang on the results. He tells me: ""One of the big questions that surrounded the creation of Dolly, and all the cloning work that has gone on since, is: do these animals age in a normal way and how healthy are they?"" Underpinning this question is a fundamental concern about the cloning process. Because it involves extracting DNA from the cell of an adult animal - a cell that is fully differentiated and has been through multiple cell divisions - some ""age-memory"" might be transferred into the next generation. ""That would mean that the cloned animal was somehow much older that you might expect,"" says Prof Sinclair. ""A new born clone might look like a lamb, but in terms of cellular senescence it would be much older, and the animal would start to develop diseases associated with aging at a much younger age."" The original Dolly died at the relatively modest age for a sheep of six-and-a-half. Along with several other members of her flock she had contracted a virus that caused lesions to develop in her lungs and she had to be put down. But by then Dolly was already suffering from osteoarthritis which, although not unheard of in a sheep of her age, did raise concerns about premature aging. The decision was taken to go back to the original cell line and to produce more clones. ""We wanted to know if Dolly's untimely death was just unlucky"", recalled Prof Sinclair, ""or if it was something to do with the cloning process itself. If illnesses like arthritis that are associated with old age were more common in cloned animals."" Getting the answers to those questions has involved putting the dollies, and nine other sheep cloned from different cell lines, through an exhaustive battery of tests and assessments including regular joint X-rays and a series of full-body fMRI scans. Prof Sinclair said: ""We focused on three co-morbidities: cardiovascular disease, diabetes and osteoarthritis - the three co-morbidities most associated with aging. Were these animals any different from the wider population of sheep with regard to these particular co-morbidities."" The results of the study, which could have profound implications for the future of cloning, will be published next week. But for now, the dollies, which are approaching their ninth and tenth birthdays, seem to be in rude health. Follow Tom on Twitter.","The cloned sheep, part of a study on the effects of cloning on animal health, are healthy and do not show signs of premature aging, despite concerns that the cloning process may transfer an ""age memory"" into the next generation. The sheep are monitored and studied closely, and undergo regular joint X-rays and full-body fMRI scans to assess the prevalence of cardiovascular disease, diabetes, and osteoarthritis. The results of the study, which has implications for the future of cloning, will be published next week.",cohere/Cohere-Chat,0.92462,0.96358,0.97856,1,1.0
"""This is definitely not the Oscars,"" said 22 Jump Street star Jillian Bell on the red carpet in Los Angeles. As well as fan-voted awards like best kiss and best shirtless performance (Efron won it - again) the ceremony was also an unofficial promotional platform for this summer's blockbusters. The night's big winner was The Fault in Our Stars, which won best movie. The film's star Shailene Woodley also picked up best female performance, the Trailblazer Award and best kiss for a scene with Ansel Elgort. Woodley gave an emotional speech dedicated to John Green, the author of the book which the film is based on, saying ""he gave this world a beautiful masterpiece"". Other winners included Bradley Cooper, who won best male performance for his role as the late Chris Kyle in American Sniper. The 40-year-old actor said: ""Chris Kyle would have turned 41 four days ago. Chris, this is for you,"" said Cooper. Channing Tatum took home best comedic performance for 22 Jump Street and Meryl Streep picked up best villain for her role in Into the Woods. Jennifer Lopez, Jennifer Lawrence, Seth Rogen and Rose Byrne were also among the winners. Kevin Hart, who was the target of many size-related jokes throughout the night, brought his kids on stage to accept the comedic genius award. He said: ""I do it all for them. I'm trying to leave a legacy behind."" In one of the more energetic moments of the show, Robert Downey Jr brought his fellow Avengers stars to their knees while accepting the Generation Award. Scarlett Johansson, Chris Evans, Chris Hemsworth, Mark Ruffalo and Jeremy Renner all took the stage to present their co-star with the award, which Downey called ""the recognition I so desire"". Clips from the upcoming Pitch Perfect sequel, Judd Apatow's latest comedy Trainwreck and Marvel's new film Ultron were shown during a look ahead to this summer's releases. Follow @BBCNewsbeat on Twitter, BBCNewsbeat on Instagram and Radio1Newsbeat on YouTube","The Fault in Our Stars was the night's big winner, taking home best movie and Shailene Woodley winning best female performance, the Trailblazer Award, and best kiss. Woodley gave an emotional speech and said ""he gave this world a beautiful masterpiece"".  Bradley Cooper won best male performance for his role as the late Chris Kyle in American Sniper, and Channing Tatum took home best comedic performance for 22 Jump Street.",cohere/Cohere-Chat,0.82785,0.98579,0.99287,1,1.0
"( cnn ) an oklahoma reserve sheriff 's deputy accused of fatally shooting a man he says he meant to subdue with a taser pleaded not guilty tuesday to a charge of second-degree manslaughter . at the hearing , the judge granted robert bates permission to go to the bahamas for a family vacation . that decision prompted a response from the family of eric harris , the man bates killed . `` we are not surprised that mr. bates pled not guilty . we are , however , surprised that mr. bates would choose to go on a vacation to the bahamas during this tumultuous time . whether intended or not , mr. bates ' vacationing in the bahamas at this time sends a message of apathy with respect to the shooting and eric 's life . at a time when we are still mourning the death of a loved one that he shot down in the street , mr. bates will be relaxing and enjoying his wealth and privilege . '' bates ' preliminary hearing is scheduled for 10 a.m. july 2 . `` this will give us an opportunity to deal with the facts in the courtroom instead of the media and we 're looking very much forward to that , '' said clark brewster , one of his lawyers , after the hearing . bates , 73 , was working as a reserve deputy for the tulsa county sheriff 's office on april 2 when he was involved the arrest of eric harris in a weapons sting operation . bates claims he meant to stun harris with a taser after harris fled from officers , but mistakenly shot harris with a gun instead . bates has said the shooting was accidental . he has apologized to the harris family , as has sheriff stanley glanz . the lawyer for the family of the man who was killed claims that bates was n't qualified to be on the force , but received preferential treatment because he 'd made donations to the agency and was a friend of the sheriff . the tulsa world newspaper reported some supervisors in the tulsa county sheriff 's office were told to forge bates ' records and were reassigned when they refused . the tulsa county sheriff 's office has denied these allegations . over the weekend , one of bates ' lawyers released most of his training documents and said they prove bates had proper law enforcement training . two deputies involved in arrest of harris have been reassigned because of threats against them and their families , glanz said monday in a news conference . lawyer releases training records for tulsa deputy charged in killing . cnn 's jason morris and ed lavandera contributed to this report .","Oklahoma reserve sheriff's deputy Robert Bates, who is accused of fatally shooting a man during an arrest, has pleaded not guilty to second-degree manslaughter. His lawyer has released training documents for Bates, claiming they prove he had proper law enforcement training. The hearing for Bates is scheduled for 10am on July 2nd.",cohere/Cohere-Chat,0.9968,0.97954,0.99677,1,1.0
"( cnn ) bobbi kristina brown , the daughter of bobby brown and whitney houston , has "" global and irreversible brain damage , "" according to her grandmother .
though the 22-year-old is no longer in a medically induced coma , she remains unresponsive , cissy houston said in a statement monday after visiting her granddaughter .
"" meeting with the doctors and understanding that she can live in this condition for a lifetime truly saddens me , "" houston said .
"" we can only trust in god for a miracle at this time . ""
houston 's statement matched that from a source with knowledge of brown 's condition , who told cnn on monday that she remained in the same neurological state she has been in for nearly three months .
she does not respond to visitors or familiar voices , and her eyes do not follow a person around the room , the source told cnn .
she also has a tracheostomy in her throat , the source said .
the reports come two days after brown 's father , bobby brown , said his daughter 's condition had improved .
"" i can say today , bobbi is awake .
she 's watching me , "" brown told the audience at dallas ' verizon theatre .
in a statement monday , an attorney for the brown family said that bobbi kristina brown 's condition has improved but that the kind of life she will lead remains to be seen .
"" doctors have indicated that she will have a long life , "" attorney christopher brown said .
"" however , bobbi kristina is presently embarking on a rehabilitation process , and the quality of her life will not be known for years to come . ""
who 's who in the bobbi kristina brown case ?
bobby brown was in an "" emotional state "" on stage when he made the remarks about his daughter being awake , according to the statement .
"" she has made it out of icu , opened her eyes and started a rehabilitation that will be long and hard , "" said bobby brown 's wife , alicia etheredge-brown .","Bobbi Kristina Brown is in an irreversible brain state and has been for nearly 3 months. Brown is no longer in a coma, however, she remains unresponsive according to her grandmother Cissy Houston and a source close to the situation. Houston expresses sadness about this and states only god can provide a miracle to help her. The father Bobby Brown had previously stated that his daughter was awake. An attorney for the family stated that although Bobbi Kristina will have a long life, the quality of it is still yet to be determined as she begins a long road of rehabilitation.",cohere/Cohere-Chat,0.63691,0.96897,0.99155,1,1.0
"( cnn ) for the first time in eight years , a tv legend returned to doing what he does best .
contestants told to "" come on down ! ""
on the april 1 edition of "" the price is right "" encountered not host drew carey but another familiar face in charge of the proceedings .
instead , there was bob barker , who hosted the tv game show for 35 years before stepping down in 2007 .
looking spry at 91 , barker handled the first price-guessing game of the show , the classic "" lucky seven , "" before turning hosting duties over to carey , who finished up .
despite being away from the show for most of the past eight years , barker did n't seem to miss a beat .","The passage discusses that Bob Barker, the former host of ""The Price is Right,"" made a cameo appearance on the show's April 1 edition. Bob hosted the show for 35 years before stepping down in 2007 and this was his first appearance on the show in 8 years. He handled the first price-guessing game before turning hosting duties over to current host Drew Carey.",cohere/Cohere-Chat,0.93074,0.84884,0.98438,1,1.0
"( cnn ) it was a busy week for trending stories .
if you were n't online much , here 's some of the best of what you missed :
after the new york area received a large amount of rain , four rainbows appeared to stretch across the early morning sky on tuesday .
amanda curtis , ceo of a fashion company , snapped the lucky shot .
in rural china , hiring exotic dancers to perform at wakes is an increasingly common practice .
families will have to find a new way to cheer up mourners , because the strippers are the latest focus of the country 's crackdown on vice .
rdj grew increasingly agitated as a channel 4 interviewer from the uk asked about his private life on tuesday .
they seem to spawn a new trend every other week .
the latest : lip plumping .
by sucking on a jar .
to look like kylie jenner .
it even has a hashtag : #kyliejennerchallenge .
with help from some filmmakers , 102-year-old alice barker went back in time .
a prom-posal that referenced bombs ?
one school would n't have it , but the prom-poser accuses administrators of racism .
ewan mcgregor to play lumiere in ` beauty and the beast '
this cast continues to draw lots of interest on social media .
johnny depp is nearly unrecognizable in the ` black mass ' trailer
here 's one way to announce you 're pregnant : reference "" the fresh prince of bel-air . ""
and a military dad photobombs his son ?
kudos for originality this week .
they all trended this week !","The passage discusses several news stories from the previous week, including rainbows in the New York sky, a trend of sucking on jars to achieve plumper lips, a controversy surrounding a prom-posal, and the casting of Ewan McGregor in the upcoming film Beauty and the Beast.",cohere/Cohere-Chat,0.99017,0.98625,0.99637,1,1.0
"( cnn ) the university of michigan has decided to proceed with a screening of the film "" american sniper "" despite objections from some students .
more than 200 students signed a petition asking the school not to show the movie as part of umix , a series of social events the university stages for students .
bradley cooper was nominated for an oscar for his portrayal of chris kyle , a navy seal and the most lethal sniper in u.s. military history .
kyle was fatally shot at a texas shooting range in 2013 .
some students believed the movie 's depiction of the iraq war reflected negatively on the middle east and people from that region .
michigan 's detroit metropolitan area is home to the nation 's largest arab-american population .
but there was a backlash to the decision to yank the movie , and a counter-petition asked school officials to reconsider .
on wednesday , e. royster harper , university of michigan 's vice president for student life , said in a statement that "" it was a mistake to cancel the showing of the movie ` american sniper ' on campus as part of a social event for students "" and that the show will go on .
"" the initial decision to cancel the movie was not consistent with the high value the university of michigan places on freedom of expression and our respect for the right of students to make their own choices in such matters , "" the statement said .
umix will offer a screening of the family-friendly "" paddington "" for those who would rather not attend "" american sniper . ""
the announcement drew praise from michigan head football coach jim harbaugh .","The University of Michigan initially canceled a planned screening of American Sniper amid protests from students, but reversed its decision after backlash to the initial decision. It will now show the film as part of a series of social events for students, though it will also offer a separate screening of the family-friendly Paddington for those who do not wish to watch American Sniper.",cohere/Cohere-Chat,0.99785,0.98565,0.99715,1,1.0
"( cnn ) tornado sirens blared wednesday night in kansas as several storms brought reports of twisters .
spotters reported a tornado about 6 miles northwest of goddard , which is less than 15 miles west of wichita .
that storm moved to the northeast , missing the city , but posing potential risks to other communities .
"" there will be storms ... that pop up all night long , "" said cnn severe weather expert chad myers .
"" nighttime tornadoes are the most deadly , are the most dangerous . ""
other reports of tornadoes came in from southwestern kansas , according to the storm prediction center .
three of the sightings were near aetna , 125 miles southwest of wichita .
kansas was n't the only state affected by the storms .
the national weather service indicated a tornado may have touched down in the small town of potosi , missouri , about 70 miles from st. louis .
cnn affiliate kmov reported that it had received reports of wind damage and flooding in the town .
one instagram user there posted a photo of a fallen tree .
aerial footage also showed damage to roofs and one street overtaken by water .
not far away from potosi , shyler and christin strube in leadington posted an instagram picture of some unusual dark clouds .
and a twitter user in farmington got bad news when he went out to his car .
"" they were n't kidding when they said baseball size ( hail ) , "" kevin knox wrote .
on thursday , more storms are expected in the midwest , mississippi river valley , tennessee river valley and near the southern great lakes , the weather service said .
cnn 's sean morris and anneclaire stapleton contributed to this report .","Tornado sirens went off in Kansas on Wednesday night due to reports of multiple tornadoes touching down. The tornadoes were reported to have touched down both in Kansas and in Missouri, causing damage in certain areas. Reports of storms and tornadoes are expected for Thursday as well in certain areas of the midwest, Mississippi river valley, Tennessee river valley, and near the southern great lakes.",cohere/Cohere-Chat,0.98163,0.97164,0.9954,1,1.0
"( cnn ) tornado sirens blared wednesday night in kansas as several storms brought reports of twisters .
spotters reported a tornado about 6 miles northwest of goddard , which is less than 17 miles west of wichita .
that storm moved to the northeast , miss the city , but posing potential risks to other communities .
"" there will be storms ... that pop up all night long , "" said cnn severe weather expert chad myers .
"" nighttime tornadoes are the most deadly , are the most dangerous . ""
other reports of tornadoes came in from southwestern kansas , according to the storm prediction center .
three of the sightings were near aetna , 125 miles southwest of wichita .
kansas was n't the only state affected by the storms .
the national weather service indicated a tornado may have touched down in the small town of potosi , missouri , about 70 miles from st. louis .
cnn affiliate kmov reported that it had received reports of wind damage and flooding in the town .
one instagram user there posted a photo of a fallen tree .
aerial footage also showed damage to roofs and one street overtaken by water .
not far away from potosi , shyler and christin strube in leadington posted an instagram picture of some unusual dark clouds .
and a twitter user in farmington got bad news when he went out to his car .
"" they were n't kidding when they said baseball size ( hail ) , "" kevin knox wrote .
on thursday , more storms are expected in the midwest , mississippi river valley , tennessee river valley and near the southern great lakes , the weather service said .
cnn 's sean morris and anneclaire stapleton contributed to this report .nti","Tornado sirens went off in Kansas on Wednesday night due to reports of multiple tornadoes touching down. The tornadoes mostly missed major cities, but there were reports of damage in the small town of Potosi, Missouri. There will be more storms on Thursday in the midwest and parts of the Mississippi and Tennessee River Valleys.",cohere/Cohere-Chat,0.98846,0.9876,0.99428,1,1.0
